0,1,2,3,4
0.5,20.06,0.0,0,0.0
5.5,20.06,0.0,0,0.17578125
20.0,20.08,0.0,0,0.05859375
2.0,20.08,0.0,0,0.18164062
2.0,20.08,0.0,0,0.41796875
1.0,20.08,0.0,0,0.17578125
2.0,20.06,0.0,0,0.1171875
0.5,20.06,0.0,0,0.17578125
1.5,20.06,0.0,0,0.17578125
2.0,20.06,0.0,0,0.17578125
2.0,20.06,0.0,0,0.41015625
0.5,20.06,0.0,0,0.1171875
0.0,20.06,0.0,0,0.234375
0.0,20.06,0.0,0,0.1171875
0.0,20.08,0.0,0,0.22265625
8.5,20.08,0.0,0,0.7519531
0.0,20.08,0.0,0,0.17578125
1.5,20.08,0.0,0,0.29296875
0.0,20.08,0.0,0,0.115234375
0.5,20.08,0.0,0,0.05859375
0.5,20.08,0.0,0,0.17578125
0.5,20.08,0.0,0,2.6513672
0.0,20.08,0.0,0,0.0
0.0,20.11,0.0,0,0.234375
0.0,20.08,0.0,0,0.1171875
0.0,20.08,0.0,0,0.0
0.0,20.08,0.0,0,0.5097656
1.0,20.08,0.0,0,0.16992188
0.0,20.08,0.0,0,0.41015625
0.5,20.08,0.0,0,0.17578125
0.5,20.08,0.0,0,1.0107422
0.5,20.11,0.0,0,0.1171875
0.0,20.08,0.0,0,0.1171875
0.0,20.11,0.0,0,38.4375
0.0,20.08,0.0,0,0.35546875
0.0,20.08,0.0,0,0.234375
0.0,20.08,0.0,0,0.17578125
0.5,20.56,13.12963,54,17.979492
0.0,20.56,8.72,50,18.686523
0.5,20.56,8.722222,36,18.551758
0.5,20.56,8.756098,41,17.860352
0.0,20.56,8.769231,52,17.079102
1.0,20.56,8.764706,51,16.579102
1.5,20.54,8.722222,36,19.110352
0.0,20.56,8.836735,49,13.43457
0.5,20.56,8.782609,23,15.676758
2.5,20.56,8.783784,37,4.142578
1.0,20.56,8.794871,39,4.544922
1.5,20.56,8.25,40,3.703125
1.5,20.56,11.096154,52,4.5390625
2.0,20.56,8.653061,49,80.072266
1.5,20.56,10.134615,52,3.6484375
1.0,20.56,8.72973,37,1.5859375
0.5,20.56,8.727273,11,0.1171875
0.0,20.56,9.428572,14,2.3613281
4.0,20.56,8.973684,38,4.03125
1.5,20.56,9.0,41,68.33887
1.0,20.56,9.0,53,81.09375
0.0,20.56,8.976191,42,4.4746094
0.5,20.56,8.953488,43,2.8085938
0.5,20.56,8.862069,29,3.6953125
1.0,20.61,8.840909,44,5.491211
1.0,20.61,9.0,37,4.984375
1.5,20.56,8.976191,42,3.8144531
0.0,20.56,8.85,40,3.805664
1.5,20.56,8.966666,30,3.7158203
0.0,20.56,8.818182,33,9.259766
1.0,20.56,8.906977,43,6.459961
1.5,20.56,8.822222,45,6.0908203
0.0,20.56,8.765958,47,5.0166016
0.5,20.56,8.973684,38,6.916992
1.0,20.56,8.795918,49,4.116211
1.5,20.56,8.896552,29,4.114258
0.5,20.56,8.733334,45,5.6376953
0.0,20.56,8.738095,42,5.9072266
1.0,20.56,14.304348,46,4.5976562
4.5,20.56,8.857142,49,3.6386719
0.5,20.56,8.756757,37,5.1816406
1.0,20.56,8.829787,47,3.9277344
0.0,20.56,9.25,40,6.5195312
0.0,20.56,8.765958,47,3.3632812
0.0,20.56,8.794118,34,3.1914062
0.0,20.56,8.710526,38,4.2089844
0.5,20.56,8.833333,42,4.0859375
0.5,20.56,8.75,36,3.7070312
1.0,20.56,8.680851,47,9.511719
